iter	RMSE
0	74751.21446
1	72317.57133
2	70103.20803
3	67963.68825
4	65850.31203
5	64023.60132
6	62225.99711
7	60546.16514
8	58927.59434
9	57430.15143
10	55946.33229
11	54599.03934
12	53227.08132
13	51985.7259
14	50869.36165
15	49700.55588
16	48691.99731
17	47657.70386
18	46742.64898
19	45769.59901
20	44962.80616
21	44051.17973
22	43220.33212
23	42382.34778
24	41604.51542
25	40952.61273
26	40427.41393
27	39745.58365
28	39056.11327
29	38340.44841
30	37771.14741
31	37191.20063
32	36651.85707
33	36093.17272
34	35725.44595
35	35194.48953
36	34708.39557
37	34258.45115
38	33875.11356
39	33426.11127
40	33017.28634
41	32697.44136
42	32283.8914
43	31829.12732
44	31449.8529
45	31164.02263
46	30835.44688
47	30521.18275
48	30254.91068
49	29958.7635
50	29839.58005
51	29574.05289
52	29283.28776
53	29029.84801
54	28764.04362
55	28549.75089
56	28296.36796
57	28107.60643
58	27882.93079
59	27701.44269
60	27512.1298
61	27290.10967
62	27052.64454
63	26851.09236
64	26695.92815
65	26502.23981
66	26338.43685
67	26165.29138
68	26035.27323
69	25859.2864
70	25709.44745
71	25546.40107
72	25389.42746
73	25213.4597
74	25045.17064
75	24927.30851
76	24766.66804
77	24660.36074
78	24527.54307
79	24399.00542
80	24258.71429
81	24151.74733
82	24045.68789
83	23942.02279
84	23803.18502
85	23690.26275
86	23585.23708
87	23454.23317
88	23270.08018
89	23173.62556
90	23081.33469
91	22978.93752
92	22901.72357
93	22812.57697
94	22734.35366
95	22655.98681
96	22561.96173
97	22469.10526
98	22351.71171
99	22265.76105
100	22198.53174
101	22127.42942
102	22026.36169
103	21935.6901
104	21889.74286
105	21788.22114
106	21681.01808
107	21600.699
108	21534.99941
109	21444.4863
110	21374.69624
111	21306.88445
112	21241.81305
113	21229.47994
114	21150.11226
115	21106.36872
116	21039.95616
117	20970.02858
118	20916.86986
119	20866.72166
120	20802.58153
121	20735.07395
122	20685.87535
123	20621.82725
124	20567.21098
125	20481.79775
126	20426.31094
127	20385.18839
128	20334.75264
129	20288.14091
130	20236.85999
131	20197.51314
132	20147.36356
133	20076.4257
134	20020.53238
135	19953.31422
136	19866.09293
137	19825.20524
138	19782.59415
139	19732.58694
140	19667.20796
141	19613.03941
142	19545.72957
143	19469.97701
144	19409.18796
145	19330.33399
146	19288.49387
147	19235.65965
148	19176.6936
149	19124.7935
150	19084.29622
151	19049.27168
152	18998.59302
153	18949.35737
154	18878.47304
155	18827.2874
156	18800.96972
157	18752.09009
158	18687.27721
159	18622.68774
160	18584.15625
161	18526.05098
162	18473.95793
163	18422.72489
164	18394.69681
165	18349.24957
166	18316.40654
167	18259.26417
168	18194.55542
169	18150.92773
170	18093.57722
171	18071.88497
172	18036.86165
173	18000.17806
174	17964.07072
175	17923.47154
176	17884.31307
177	17786.56191
178	17739.75437
179	17707.6244
180	17664.29887
181	17604.54158
182	17565.5046
183	17504.36589
184	17471.04521
185	17445.53629
186	17403.76033
187	17374.77254
188	17342.83386
189	17287.12359
190	17252.65833
191	17229.13771
192	17174.80887
193	17145.61268
194	17118.84738
195	17096.28427
196	17066.39421
197	17022.9732
198	16985.83036
199	16955.55239
200	16941.23544
201	16908.64651
202	16892.36883
203	16821.61239
204	16797.16024
205	16772.37806
206	16758.12378
207	16742.2353
208	16720.72201
209	16675.68572
210	16627.9662
211	16599.36044
212	16573.33308
213	16526.8234
214	16517.8367
215	16467.42614
216	16448.08716
217	16418.68336
218	16378.58711
219	16365.08309
220	16329.95752
221	16300.23009
222	16258.96786
223	16222.95797
224	16186.40441
225	16155.08103
226	16118.22796
227	16089.28305
228	16039.71822
229	16018.65318
230	15984.9561
231	15973.69452
232	15928.51679
233	15877.85901
234	15864.37354
235	15830.42273
236	15803.85377
237	15757.19667
238	15721.2883
239	15684.1907
240	15653.97405
241	15638.95793
242	15593.14565
243	15569.27855
244	15537.9678
245	15534.03958
246	15490.82259
247	15442.74262
248	15412.64566
249	15391.10641
250	15388.64881
251	15354.98049
252	15321.32494
253	15306.80163
254	15285.81239
255	15246.65731
256	15228.43352
257	15209.74153
258	15189.96106
259	15165.0562
260	15158.6177
261	15142.12114
262	15126.45242
263	15108.50396
264	15081.24937
265	15057.19313
266	15028.43583
267	15007.1734
268	14994.83149
269	14978.41449
270	14954.52834
271	14911.91505
272	14882.79234
273	14858.24737
274	14814.38192
275	14797.65284
276	14778.70213
277	14757.53823
278	14733.85189
279	14717.53089
280	14696.58807
281	14682.07961
282	14664.33419
283	14620.45405
284	14569.25972
285	14542.69363
286	14521.53164
287	14508.34494
288	14490.00986
289	14481.09946
290	14469.10874
291	14450.88127
292	14418.1298
293	14389.93175
294	14371.22995
295	14360.0421
296	14348.2703
297	14320.32615
298	14279.09767
299	14268.84886
300	14253.47838
301	14225.51089
302	14212.7775
303	14189.64922
304	14167.39785
305	14164.51139
306	14144.33092
307	14125.33564
308	14107.72574
309	14095.229
310	14093.28992
311	14064.99012
312	14051.10104
313	14034.63512
314	14013.42003
315	13984.99488
316	13973.82313
317	13954.55788
318	13935.33439
319	13913.53813
320	13901.56651
321	13869.27291
322	13835.65701
323	13826.40658
324	13800.52751
325	13770.90386
326	13754.46092
327	13746.98677
328	13729.7529
329	13712.01894
330	13705.64036
331	13691.11514
332	13681.17222
333	13674.90321
334	13669.88891
335	13658.31895
336	13654.84829
337	13641.98435
338	13623.97405
339	13604.32258
340	13596.95275
341	13582.74065
342	13563.08665
343	13545.13059
344	13535.90087
345	13523.1097
346	13499.83271
347	13462.71392
348	13427.3179
349	13415.23284
350	13396.02197
351	13370.64245
352	13351.27509
353	13346.98906
354	13331.41457
355	13318.57853
356	13304.43827
357	13285.67424
358	13268.25152
359	13260.59422
360	13233.68582
361	13222.57085
362	13211.75621
363	13199.68366
364	13187.18843
365	13161.01021
366	13145.60017
367	13109.33976
368	13099.64017
369	13076.28263
370	13056.225
371	13038.84531
372	13029.44325
373	13003.84314
374	12986.37168
375	12978.83109
376	12954.58681
377	12946.99817
378	12934.63965
379	12920.8209
380	12895.02667
381	12871.28094
382	12849.90872
383	12843.38511
384	12838.55351
385	12818.60554
386	12810.83028
387	12794.97632
388	12774.01968
389	12772.13542
390	12759.05872
391	12743.72063
392	12737.64328
393	12723.39875
394	12704.36189
395	12691.1068
396	12681.08704
397	12667.09235
398	12645.58339
399	12625.20189
400	12604.593
401	12594.51726
402	12582.06236
403	12564.76117
404	12547.1384
405	12544.20425
406	12533.36515
407	12515.52106
408	12512.92822
409	12508.65777
410	12498.66283
411	12488.82182
412	12482.5478
413	12455.63851
414	12435.81339
415	12426.4447
416	12404.0627
417	12396.82983
418	12369.47308
419	12362.61639
420	12352.55167
421	12325.20309
422	12317.79898
423	12298.11921
424	12281.66993
425	12272.42907
426	12251.29057
427	12228.77252
428	12219.23602
429	12205.07158
430	12202.03976
431	12190.19419
432	12164.71288
433	12153.25916
434	12144.2459
435	12130.18594
436	12117.84116
437	12110.15675
438	12101.16049
439	12086.9252
440	12077.23037
441	12071.88942
442	12063.61408
443	12041.93826
444	12026.90505
445	12016.27819
446	12006.38414
447	11988.58803
448	11972.98848
449	11966.41494
450	11947.6899
451	11930.65535
452	11912.77835
453	11898.12518
454	11875.07992
455	11859.81637
456	11845.6206
457	11838.07788
458	11822.91104
459	11811.27895
460	11799.60354
461	11775.28398
462	11761.88402
463	11750.77438
464	11727.26035
465	11710.06756
466	11703.0257
467	11691.24039
468	11686.94429
469	11668.14497
470	11635.07574
471	11629.18766
472	11626.27441
473	11619.18502
474	11613.33149
475	11605.23189
476	11584.97438
477	11566.43123
