iter	Passed	Remaining
0	68	137873
1	148	148002
2	229	153005
3	312	156130
4	412	164697
5	499	165952
6	600	170949
7	700	174490
8	804	178012
9	914	182057
10	1006	181994
11	1079	178867
12	1159	177274
13	1235	175276
14	1313	173835
15	1423	176557
16	1563	182320
17	1631	179685
18	1702	177456
19	1765	174746
20	1826	172092
21	1868	168033
22	1930	165946
23	1985	163496
24	2038	161006
25	2077	157741
26	2105	153886
27	2158	152031
28	2212	150349
29	2264	148687
30	2320	147396
31	2372	145932
32	2426	144617
33	2480	143411
34	2530	142095
35	2581	140848
36	2635	139818
37	2686	138707
38	2741	137850
39	2794	136922
40	2847	136067
41	2899	135163
42	2951	134346
43	3002	133455
44	3056	132768
45	3108	132036
46	3162	131408
47	3213	130695
48	3268	130136
49	3325	129677
50	3339	127631
51	3391	127060
52	3444	126536
53	3496	126006
54	3551	125583
55	3603	125088
56	3676	125336
57	3759	125872
58	3841	126371
59	3899	126073
60	3957	125798
61	4021	125698
62	4084	125594
63	4147	125458
64	4216	125516
65	4276	125303
66	4341	125252
67	4401	125067
68	4595	128618
69	4648	128170
70	4702	127764
71	4758	127420
72	4816	127136
73	4873	126831
74	4928	126507
75	4982	126137
76	5037	125798
77	5081	125202
78	5134	124849
79	5189	124551
80	5247	124315
81	5301	124006
82	5357	123728
83	5410	123421
84	5473	123305
85	5527	123029
86	5585	122809
87	5638	122502
88	5694	122261
89	5756	122157
90	5811	121918
91	5872	121800
92	5966	122337
93	6037	122425
94	6098	122298
95	6153	122051
96	6209	121818
97	6264	121584
98	6321	121383
99	6375	121126
100	6432	120935
101	6487	120720
102	6543	120513
103	6599	120319
104	6653	120070
105	6709	119877
106	6762	119639
107	6821	119499
108	6875	119282
109	6932	119107
110	6997	119089
111	7054	118919
112	7107	118688
113	7128	117939
114	7181	117708
115	7237	117551
116	7291	117351
117	7346	117172
118	7400	116983
119	7465	116964
120	7555	117324
121	7639	117591
122	7706	117603
123	7768	117528
124	7826	117396
125	7883	117256
126	7941	117114
127	7999	116990
128	8054	116822
129	8153	117292
130	8226	117369
131	8294	117377
132	8353	117257
133	8406	117068
134	8465	116955
135	8540	117060
136	8629	117342
137	8695	117325
138	8758	117269
139	8811	117067
140	8873	116985
141	8927	116808
142	8982	116645
143	9052	116672
144	9103	116456
145	9156	116275
146	9202	115999
147	9250	115759
148	9301	115552
149	9347	115280
150	9394	115031
151	9437	114745
152	9487	114527
153	9539	114351
154	9587	114123
155	9632	113861
156	9678	113619
157	9725	113384
158	9770	113131
159	9817	112906
160	9863	112661
161	9911	112448
162	9955	112203
163	10003	111984
164	10051	111785
165	10095	111540
166	10142	111324
167	10187	111088
168	10233	110872
169	10279	110654
170	10337	110570
171	10406	110597
172	10471	110582
173	10516	110367
174	10562	110152
175	10609	109956
176	10656	109756
177	10700	109524
178	10746	109321
179	10791	109114
180	10835	108890
181	10880	108690
182	10926	108491
183	10973	108299
184	11017	108094
185	11064	107907
186	11112	107735
187	11156	107531
188	11200	107326
189	11246	107142
190	11292	106953
191	11338	106766
192	11385	106598
193	11429	106405
194	11477	106236
195	11522	106055
196	11566	105864
197	11612	105682
198	11660	105531
199	11708	105380
200	11753	105199
201	11800	105034
202	11850	104906
203	11894	104718
204	11941	104560
205	11986	104386
206	12034	104244
